State/UT/City,Overtaking Cases,Overtaking Injured,Overspeeding Cases,Driving Under Drug cases,Physical Fatigue of Drivers Cases,Defect in Mechanical Condition of Vehicle Cases,Animal Crossing Cases,Weather Condition (Total) Cases,Weather Condition (Poor Visibility) Cases,Weather Condition (Other Causes) Cases,Lack of Road Infrastructure Cases,Vehicles Parking at Road Shoulders Cases,Causes Not Known Cases,Total Road Accidents Cases
ANDHRA PRADESH,2185,2271,16631,119,22,7,165,100,43,57,39,38,121,21556
ARUNACHAL PRADESH,65,59,120,3,0,12,0,8,5,3,6,0,9,261
ASSAM,886,833,4303,288,5,265,50,918,468,450,88,135,42,7069
BIHAR,5039,4134,2886,51,79,95,196,908,663,245,68,110,20,9553
CHHATTISGARH,3536,3258,6378,145,18,83,165,220,75,145,94,138,455,12395
GOA,1752,520,957,122,1,5,6,0,0,0,0,2,0,2850
GUJARAT,1570,1515,12574,100,199,164,91,212,109,103,25,104,80,15200
HARYANA,4115,3183,4146,124,69,14,50,571,367,204,8,136,731,10049
HIMACHAL PRADESH,1418,2009,726,71,1,27,0,32,26,6,30,4,2,2408
JHARKHAND,1230,903,2694,204,22,178,61,73,46,27,197,22,26,4728
KARNATAKA,2773,3298,30286,178,0,62,71,173,17,156,18,57,2,34647
KERALA,11333,12698,18605,156,276,337,143,705,404,301,172,142,228,32759
MADHYA PRADESH,13253,12796,25408,1875,303,343,546,1284,547,737,270,436,814,48219
MAHARASHTRA,8216,5783,16014,311,60,348,289,437,236,201,270,180,161,26598
MANIPUR,69,95,190,17,0,67,0,13,9,4,0,0,9,366
MEGHALAYA,70,71,103,39,0,3,0,3,0,3,10,5,0,244
MIZORAM,17,2,19,7,0,5,0,0,0,0,15,0,1,64
NAGALAND,2,0,9,3,0,6,0,0,0,0,4,1,0,25
ODISHA,990,939,7105,275,0,19,0,397,102,295,8,4,487,10983
PUNJAB,1130,577,3314,166,88,135,199,719,565,154,91,116,3,6097
RAJASTHAN,9615,8803,9373,148,134,154,160,281,105,176,179,303,324,20954
SIKKIM,36,67,40,11,1,6,0,6,5,1,3,1,0,122
TAMIL NADU,8960,8943,42079,372,183,826,496,1131,779,352,83,284,381,55682
TELANGANA,1886,4118,17386,1487,24,52,49,46,39,7,41,39,0,21315
TRIPURA,64,92,413,1,0,0,0,0,0,0,0,0,0,478
UTTAR PRADESH,17700,10092,7461,1182,474,375,710,2242,1746,496,602,403,661,33711
UTTARAKHAND,391,298,733,47,28,58,1,52,36,16,10,0,80,1405
WEST BENGAL,2534,1919,3361,105,65,633,91,452,259,193,94,87,619,11501
A & N ISLANDS,69,65,12,30,0,0,0,0,0,0,0,0,0,117
CHANDIGARH,13,16,184,11,0,0,0,0,0,0,0,0,0,208
D & N HAVELI AND DAMAN & DIU,96,123,34,5,0,0,0,0,0,0,2,3,0,140
DELHI (UT),2110,1810,1492,47,5,13,15,74,57,17,14,21,275,4720
JAMMU & KASHMIR,421,526,4840,0,0,0,0,30,0,30,0,0,46,5402
LADAKH,57,72,120,2,0,14,0,23,3,20,2,0,0,237
LAKSHADWEEP,2,5,2,0,0,0,0,0,0,0,0,0,0,4
PUDUCHERRY,26,0,830,16,0,0,0,0,0,0,0,0,0,1049
Total (UTs),2794,2617,7514,111,5,27,15,127,60,67,18,24,321,11877
Total (ALL INDIA),103629,91893,240828,7718,2057,4306,3554,11110,6711,4399,,,,
AGRA,115,40,45,0,0,0,0,0,0,0,0,0,0,160
AHMEDABAD,0,0,1425,8,0,0,0,0,0,0,0,0,0,1433
ALLAHABAD,148,108,131,67,23,17,7,54,32,22,11,6,53,594
AMRITSAR,32,12,65,0,0,0,1,0,0,0,0,0,0,98
ASANSOL,131,26,138,0,0,0,0,0,0,0,0,0,16,285
AURANGABAD,0,0,462,0,0,0,16,0,0,0,0,0,0,478
BENGALURU,118,120,3041,54,0,0,0,0,0,0,0,0,0,3213
BHOPAL,1433,1102,0,0,0,0,0,0,0,0,0,0,0,1891
CHANDIGARH (CITY),13,16,184,11,0,0,0,0,0,0,0,0,0,208
CHENNAI,999,955,3711,141,5,12,7,104,26,78,24,31,0,5034
COIMBATORE,0,0,729,9,8,0,57,17,17,0,0,0,0,866
DELHI (CITY),2026,1748,1411,47,5,13,15,74,57,17,14,21,255,4505
DHANBAD,68,33,77,0,0,28,1,13,13,0,0,0,0,187
DURG BHILAINAGAR,0,0,623,2,0,0,0,0,0,0,0,0,0,625
FARIDABAD,188,160,218,0,0,0,0,0,0,0,0,0,132,538
GHAZIABAD,141,102,123,5,0,0,0,8,3,5,0,0,19,296
GWALIOR,26,26,792,0,0,16,0,72,0,72,0,0,0,1034
HYDERABAD,252,254,1961,45,0,0,0,0,0,0,15,0,0,2273
INDORE,681,431,408,1,0,0,0,0,0,0,0,0,716,2618
JABALPUR,384,409,264,364,0,529,0,0,0,0,0,0,0,1802
JAIPUR,1166,997,942,31,0,2,4,0,0,0,0,5,2,2166
JAMSHEDPUR,152,134,0,0,0,0,0,0,0,0,0,0,0,152
JODHPUR,97,64,314,19,27,16,11,2,1,1,19,0,41,595
KANNUR,670,792,314,2,0,0,8,110,110,0,0,0,6,1110
KANPUR,315,138,212,0,0,6,49,9,8,1,0,2,0,593
KOCHI,978,964,660,2,0,22,19,43,25,18,39,18,0,1781
KOLKATA,31,16,25,14,3,0,0,15,6,9,3,0,0,1519
KOLLAM,764,764,786,2,0,0,0,0,0,0,0,0,0,1552
KOTA,5,5,357,3,0,0,0,0,0,0,0,0,3,368
KOZHIKODE,268,281,1091,4,0,14,0,0,0,0,0,0,0,1377
LUCKNOW,738,487,137,20,3,19,3,17,15,2,2,0,3,1063
LUDHIANA,117,49,257,4,4,3,22,13,8,5,7,10,3,478
MADURAI,46,43,559,13,0,0,0,0,0,0,0,0,0,618
MALAPPURAM,39,48,637,2,0,1,0,0,0,0,0,0,6,686
MEERUT,132,100,191,23,0,0,0,2,2,0,0,0,0,348
MUMBAI,250,15,235,4,0,0,0,2,1,1,0,1,1,493
NAGPUR,507,405,504,13,0,0,0,0,0,0,0,0,0,1024
NASIK,0,0,33,0,3,11,7,47,21,26,18,23,0,142
PATNA,131,78,175,32,0,0,0,46,46,0,0,0,0,384
PUNE,85,23,165,7,0,0,3,4,4,0,1,7,3,304
RAIPUR,81,75,634,0,7,29,14,0,0,0,8,13,146,932
RAJKOT,0,0,346,0,0,0,0,0,0,0,0,0,0,363
RANCHI,0,0,84,99,0,0,0,0,0,0,0,0,0,183
SRINAGAR,0,0,331,0,0,0,0,0,0,0,0,0,0,331
SURAT,0,0,660,0,0,0,0,0,0,0,0,0,0,670
THIRUVANANTHAPURAM,465,465,833,26,0,12,19,25,24,1,2,56,0,1438
THRISSUR,220,287,1476,4,0,17,0,0,0,0,0,2,0,1719
TIRUCHIRAPPALLI,34,29,353,1,0,1,0,0,0,0,0,0,10,399
VADODARA,23,18,436,5,0,0,0,0,0,0,0,0,0,464
VARANASI,41,26,36,9,0,0,13,6,6,0,0,3,25,133
VASAI VIRAR,70,62,276,0,0,0,0,0,0,0,0,0,1,352
VIJAYAWADA,124,129,1101,3,0,0,0,0,0,0,0,0,0,1228
VISHAKHAPATNAM,31,26,1785,41,5,0,13,0,0,0,4,0,0,2339
